!CSV A.01.01
!Keysight Technologies,N5222B,MY58422327,A.13.60.06
!Date: Monday, March 28, 2022 16:34:03
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S13(DB),S13(DEG),S14(DB),S14(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG),S23(DB),S23(DEG),S24(DB),S24(DEG),S31(DB),S31(DEG),S32(DB),S32(DEG),S33(DB),S33(DEG),S34(DB),S34(DEG),S41(DB),S41(DEG),S42(DB),S42(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
2500000000,-16.871302,21.430586,-33.628483,6.6804385,-33.03334,20.161512,-33.841949,7.9621258,-33.867485,6.9031768,-13.408203,-175.75426,-38.857544,17.041546,-40.911667,-70.097839,-33.152386,19.396662,-38.771103,17.370548,-16.193592,24.637486,-34.755432,4.7202907,-33.886963,7.6819906,-40.882984,-69.616127,-34.850861,4.8269577,-16.559126,166.53583
2500500000,-16.863503,21.033709,-33.734283,5.3009634,-32.985813,19.41094,-33.932758,6.8494301,-33.971512,5.5638466,-13.37143,-175.8707,-38.931095,15.186311,-40.861591,-72.582237,-33.115864,18.769388,-38.816723,15.56658,-16.132904,24.135748,-34.752113,3.7480962,-33.974854,6.498456,-40.834927,-72.073013,-34.849224,3.8781605,-16.54513,166.2132
2501000000,-16.852911,20.645275,-33.847767,3.9971237,-32.936409,18.687866,-34.030537,5.8332977,-34.077866,4.293241,-13.333425,-175.97365,-39.015362,13.280512,-40.817253,-75.089417,-33.074238,18.192163,-38.885162,13.666047,-16.072025,23.626081,-34.753445,2.665298,-34.072845,5.4366279,-40.796116,-74.604988,-34.854317,2.8465648,-16.528906,165.88049
2501500000,-16.839323,20.267054,-33.950642,2.8135886,-32.889793,18.061958,-34.128044,4.9820385,-34.178677,3.1188323,-13.297982,-176.08968,-39.129086,11.404055,-40.791412,-77.619476,-33.029743,17.733337,-38.977909,11.779184,-16.014099,23.106215,-34.769173,1.5927404,-34.172367,4.533433,-40.775867,-77.091621,-34.866737,1.8051246,-16.508215,165.548
2502000000,-16.826273,19.865929,-34.043213,1.6656941,-32.833832,17.486916,-34.216038,4.2001863,-34.269962,1.9976889,-13.264152,-176.20186,-39.258533,9.5675488,-40.754902,-80.099274,-32.970306,17.298605,-39.08749,9.8772097,-15.958769,22.590338,-34.791183,0.44361874,-34.268612,3.7125843,-40.747562,-79.492966,-34.889641,0.72572899,-16.485538,165.20027
2502500000,-16.810682,19.458948,-34.130207,0.53480363,-32.773857,16.893465,-34.297977,3.4676332,-34.358219,0.92074496,-13.230056,-176.31038,-39.390804,7.7686882,-40.716934,-82.564201,-32.898045,16.831797,-39.20993,8.048687,-15.908376,22.079241,-34.836357,-0.6586706,-34.358555,2.970675,-40.716312,-81.869377,-34.929794,-0.33025312,-16.461557,164.82173
2503000000,-16.793425,19.037872,-34.204922,-0.58834487,-32.70694,16.32509,-34.373127,2.8117843,-34.429867,-0.10410234,-13.199598,-176.43655,-39.540089,5.9632492,-40.666809,-85.072639,-32.823807,16.368093,-39.349548,6.1890931,-15.860538,21.588568,-34.89579,-1.6451561,-34.438068,2.2873719,-40.669987,-84.317467,-34.979015,-1.270968,-16.43572,164.43916
2503500000,-16.781708,18.590815,-34.268604,-1.7313629,-32.637005,15.81051,-34.438591,2.1964338,-34.486706,-1.1708277,-13.169998,-176.55472,-39.696171,4.1107383,-40.604893,-87.610199,-32.741993,15.929652,-39.493439,4.3185368,-15.814716,21.117725,-34.949638,-2.460227,-34.510525,1.671064,-40.607471,-86.801094,-35.022251,-2.0948308,-16.408997,164.04095
2504000000,-16.768478,18.15402,-34.331757,-2.9431238,-32.547871,15.31254,-34.497288,1.5769721,-34.54007,-2.277832,-13.1399,-176.66475,-39.865826,2.208147,-40.531765,-90.231216,-32.641415,15.486517,-39.655701,2.4266503,-15.769214,20.671942,-34.989582,-3.1997573,-34.57505,1.0547193,-40.525967,-89.394501,-35.05917,-2.8851473,-16.381252,163.59769
2504500000,-16.755033,17.728497,-34.392654,-4.1551905,-32.440243,14.749995,-34.555019,1.0055497,-34.587399,-3.4217529,-13.112329,-176.78394,-40.059097,0.19873367,-40.440384,-93.064316,-32.525204,15.010519,-39.831158,0.43560895,-15.721902,20.250414,-35.019051,-3.8800073,-34.640614,0.50466579,-40.431465,-92.178856,-35.085907,-3.5931568,-16.35038,163.14645
