    !CSV A.01.01
!Keysight Technologies,N5222B,MY58422327,A.13.60.06
!Date: Monday, March 28, 2022 15:03:29
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S13(DB),S13(DEG),S14(DB),S14(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG),S23(DB),S23(DEG),S24(DB),S24(DEG),S31(DB),S31(DEG),S32(DB),S32(DEG),S33(DB),S33(DEG),S34(DB),S34(DEG),S41(DB),S41(DEG),S42(DB),S42(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
2500000000,-17.683226,25.510534,-37.628384,24.115641,-34.977161,28.202589,-31.37425,2.8208725,-37.686619,23.572428,-13.176038,-174.08199,-40.376724,20.342398,-48.332214,-89.798332,-34.936855,28.431404,-40.300686,19.932878,-16.036966,27.559305,-34.148949,-16.144547,-31.42544,2.6961391,-48.4879,-91.019608,-34.212292,-16.234243,-16.276344,166.63725
2500500000,-17.657543,25.206173,-37.823483,23.004436,-34.884968,27.501122,-31.451281,1.3165367,-37.877163,22.503948,-13.134727,-174.26492,-40.498554,19.501614,-48.152309,-91.624489,-34.845573,27.72846,-40.419262,19.18243,-15.978548,26.979509,-34.149162,-16.910881,-31.504446,1.1979662,-48.306847,-92.893898,-34.214993,-17.018286,-16.263277,166.21767
2501000000,-17.626745,24.908457,-38.031509,22.027687,-34.789505,26.789831,-31.542189,-0.15509513,-38.075474,21.534224,-13.092092,-174.4292,-40.628338,18.604694,-47.957012,-93.834106,-34.752846,27.022388,-40.542297,18.364269,-15.921392,26.399721,-34.143692,-17.808054,-31.59444,-0.27077311,-48.103909,-95.027466,-34.213337,-17.912064,-16.250198,165.78564
2501500000,-17.58968,24.61375,-38.223919,21.284101,-34.694298,26.067892,-31.645817,-1.5214704,-38.25552,20.792952,-13.052525,-174.60515,-40.765034,17.810396,-47.777489,-96.034958,-34.659317,26.320494,-40.67384,17.569004,-15.867105,25.815125,-34.14146,-18.783363,-31.698414,-1.6244617,-47.937897,-97.207535,-34.215881,-18.863518,-16.235285,165.35237
2502000000,-17.552654,24.276693,-38.387779,20.680904,-34.596943,25.333298,-31.752995,-2.8206081,-38.417175,20.111668,-13.014115,-174.77469,-40.9077,17.094669,-47.571899,-98.243202,-34.561916,25.608204,-40.814693,16.835129,-15.815093,25.240627,-34.150673,-19.859461,-31.808882,-2.9284253,-47.734898,-99.432198,-34.22604,-19.907534,-16.220356,164.90428
2502500000,-17.511114,23.916664,-38.529915,20.10891,-34.508659,24.541752,-31.870417,-4.0225272,-38.552185,19.513288,-12.974481,-174.94159,-41.039391,16.464325,-47.342468,-100.54255,-34.471245,24.837744,-40.935951,16.190016,-15.766983,24.682058,-34.179047,-20.951851,-31.925776,-4.1389403,-47.50589,-101.68889,-34.25388,-20.976706,-16.205976,164.43697
2503000000,-17.467218,23.525911,-38.644665,19.589851,-34.430511,23.82905,-31.991632,-5.1406074,-38.668434,18.961586,-12.938187,-175.12938,-41.161304,15.867216,-47.095211,-102.99446,-34.389351,24.120424,-41.055656,15.52383,-15.719573,24.147018,-34.224419,-21.994152,-32.047844,-5.2696238,-47.259724,-104.1222,-34.298145,-22.008629,-16.191296,163.97282
2503500000,-17.429171,23.093746,-38.725182,18.972078,-34.350243,23.190569,-32.115696,-6.1633081,-38.750874,18.302307,-12.902632,-175.3186,-41.273396,15.132055,-46.818607,-105.54467,-34.307827,23.481909,-41.162037,14.776226,-15.673079,23.637888,-34.276878,-22.918335,-32.175034,-6.2837653,-46.973652,-106.55403,-34.350067,-22.916779,-16.176781,163.50024
2504000000,-17.390182,22.651094,-38.796253,18.289467,-34.259857,22.64809,-32.24276,-7.0626774,-38.822121,17.574207,-12.867518,-175.50266,-41.383064,14.365333,-46.508198,-108.25134,-34.211861,22.931147,-41.267357,13.956413,-15.62525,23.156546,-34.329613,-23.773243,-32.302628,-7.1786041,-46.657532,-109.14245,-34.399815,-23.758553,-16.162201,163.00139
2504500000,-17.352526,22.206135,-38.848003,17.457615,-34.145451,22.129341,-32.367889,-7.8459835,-38.878319,16.68063,-12.834949,-175.70146,-41.497684,13.430756,-46.16045,-111.3548,-34.097969,22.400116,-41.383186,12.948449,-15.57478,22.694902,-34.378983,-24.518002,-32.428917,-7.9645419,-46.296108,-112.14257,-34.446178,-24.503838,-16.144855,162.50342
