!CSV A.01.01
!Keysight Technologies,N5222B,MY58422327,A.13.60.06
!Date: Monday, March 28, 2022 15:41:23
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S13(DB),S13(DEG),S14(DB),S14(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG),S23(DB),S23(DEG),S24(DB),S24(DEG),S31(DB),S31(DEG),S32(DB),S32(DEG),S33(DB),S33(DEG),S34(DB),S34(DEG),S41(DB),S41(DEG),S42(DB),S42(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
2500000000,-17.109476,20.728764,-33.581074,3.9805207,-33.294518,21.738644,-33.941208,9.241787,-33.673222,3.7784009,-13.500048,-175.84377,-39.508766,23.6078,-39.932949,-67.803886,-33.293785,21.92289,-39.283642,23.712536,-16.528208,23.600826,-34.426338,9.4048243,-33.995674,9.2380733,-39.91766,-66.815742,-34.466045,9.1804161,-16.50289,167.93506
2500500000,-17.10527,20.402908,-33.674225,2.559912,-33.261959,21.233482,-34.022255,7.924726,-33.772636,2.4546444,-13.461657,-175.93675,-39.551922,22.262468,-39.903774,-69.728584,-33.25732,21.443127,-39.330032,22.177029,-16.477856,23.138813,-34.388618,8.7053099,-34.080784,7.9131036,-39.866432,-68.72142,-34.432186,8.4586754,-16.485687,167.55193
2501000000,-17.095976,20.093994,-33.776665,1.1608192,-33.231815,20.754063,-34.11412,6.6654902,-33.879524,1.1614957,-13.421437,-176.01506,-39.61124,20.77458,-39.870647,-71.733841,-33.215839,20.959332,-39.406315,20.514553,-16.426502,22.681084,-34.355843,7.8458343,-34.176456,6.6557894,-39.811756,-70.759697,-34.403698,7.5862851,-16.468239,167.1613
2501500000,-17.081165,19.792324,-33.880913,-0.11610918,-33.198105,20.320509,-34.213329,5.5468459,-33.981365,0.0097684581,-13.383254,-176.10484,-39.690727,19.281555,-39.844994,-73.745712,-33.171749,20.517282,-39.508404,18.904179,-16.376299,22.230198,-34.33036,6.9390521,-34.278732,5.5450606,-39.763844,-72.832764,-34.377304,6.6465411,-16.447935,166.76668
2502000000,-17.064583,19.456318,-33.980301,-1.3301921,-33.154541,19.930758,-34.313244,4.4938869,-34.075405,-1.1002859,-13.345568,-176.19141,-39.785385,17.775467,-39.805614,-75.752892,-33.122726,20.085556,-39.627079,17.336454,-16.326006,21.798155,-34.320374,5.9607606,-34.381172,4.4874949,-39.702805,-74.947075,-34.368229,5.6284308,-16.427517,166.35956
2502500000,-17.043861,19.117456,-34.077103,-2.5033257,-33.10704,19.538773,-34.414837,3.5038202,-34.162098,-2.1568441,-13.306995,-176.27611,-39.881924,16.287323,-39.76001,-77.826309,-33.075058,19.67835,-39.749039,15.8895,-16.277473,21.377483,-34.322346,4.9879513,-34.485481,3.5239444,-39.634808,-77.10894,-34.37645,4.6454439,-16.406416,165.93045
2503000000,-17.019602,18.752478,-34.167839,-3.5932178,-33.059914,19.237095,-34.516006,2.5843527,-34.238686,-3.1611288,-13.27056,-176.38322,-39.985725,14.781896,-39.703716,-79.993294,-33.025642,19.332716,-39.871967,14.424994,-16.22646,20.975355,-34.338375,4.1006055,-34.587215,2.6346595,-39.562481,-79.447922,-34.396358,3.7173071,-16.385073,165.49925
2503500000,-16.998541,18.348101,-34.239883,-4.6648178,-33.000828,19.028433,-34.621078,1.7494019,-34.298534,-4.187376,-13.23494,-176.49332,-40.090393,13.159563,-39.630444,-82.246147,-32.967224,19.071777,-39.994934,12.887684,-16.175182,20.582623,-34.3535,3.3366659,-34.692623,1.8553613,-39.483303,-81.853165,-34.418343,2.9318402,-16.363503,165.06058
2504000000,-16.974655,17.935949,-34.305885,-5.7496223,-32.91975,18.895063,-34.727535,1.0003318,-34.346867,-5.2262998,-13.198784,-176.6031,-40.215927,11.457819,-39.545753,-84.629349,-32.883949,18.878267,-40.130096,11.282994,-16.122509,20.198441,-34.362373,2.648474,-34.794086,1.1301081,-39.396687,-84.418167,-34.435173,2.1934183,-16.341648,164.58821
2504500000,-16.949913,17.512655,-34.361324,-6.8598881,-32.807926,18.755672,-34.831356,0.36323631,-34.386238,-6.3111567,-13.165451,-176.72626,-40.35902,9.5877199,-39.449734,-87.2742,-32.776005,18.681725,-40.280876,9.5270662,-16.067039,19.819275,-34.36272,2.0375786,-34.893959,0.52671582,-39.302898,-87.225006,-34.442833,1.5687343,-16.316732,164.11633
2505000000,-16.922508,17.087069,-34.410484,-8.0453377,-32.668957,18.538525,-34.923901,-0.14378664,-34.416161,-7.5013952,-13.134503,-176.86272,-40.545128,7.7113299,-39.356052,-90.196388,-32.642937,18.422476,-40.473564,7.745357,-16.011183,19.424902,-34.345371,1.5098745,-34.981953,0.028483827,-39.219837,-90.300064,-34.438267,1.0037086,-16.293144,163.60408
2505500000,-16.89426,16.633528,-34.462708,-9.2375784,-32.505112,18.154802,-35.006065,-0.60256642,-34.446865,-8.7424898,-13.10358,-176.99051,-40.772087,5.7694693,-39.286232,-93.434425,-32.484356,17.984085,-40.702961,5.9685497,-15.953945,19.022776,-34.308475,0.92276073,-35.053513,-0.4106538,-39.158024,-93.614288,-34.411045,0.45499638,-16.268061,163.07433
2506000000,-16.867571,16.163055,-34.50808,-10.519618,-32.331917,17.587608,-35.082569,-1.0333723,-34.472321,-10.092899,-13.075186,-177.12845,-41.041218,3.8724692,-39.234715,-96.935745,-32.316704,17.376936,-40.962315,4.2330132,-15.896963,18.625425,-34.254505,0.31469277,-35.122231,-0.84066236,-39.124268,-97.187927,-34.365856,-0.13735637,-16.242916,162.49918
2506500000,-16.840868,15.688809,-34.559582,-11.907272,-32.152065,16.82213,-35.149986,-1.2903432,-34.513027,-11.608959,-13.050182,-177.27573,-41.36343,2.0528071,-39.223583,-100.702,-32.148117,16.59293,-41.263538,2.570776,-15.839641,18.219269,-34.193096,-0.37526476,-35.179863,-1.139322,-39.124374,-100.94841,-34.311291,-0.77040339,-16.219629,161.89978
2507000000,-16.818565,15.21043,-34.625813,-13.327296,-31.973986,15.851357,-35.188858,-1.5062954,-34.572826,-13.140659,-13.025356,-177.39735,-41.742504,0.43797508,-39.266258,-104.63897,-31.98172,15.627217,-41.61932,1.0552657,-15.781874,17.817072,-34.124271,-1.1153262,-35.212219,-1.3812591,-39.176327,-104.92196,-34.245205,-1.4563645,-16.199968,161.25951
2507500000,-16.792654,14.745258,-34.705269,-14.731788,-31.813675,14.696754,-35.205002,-1.7510309,-34.648716,-14.672676,-13.003562,-177.52217,-42.176315,-0.75734329,-39.360825,-108.66531,-31.830116,14.49589,-42.017696,-0.15007663,-15.723666,17.414072,-34.045017,-1.8960137,-35.223888,-1.6799608,-39.276157,-108.95872,-34.16748,-2.2318335,-16.184359,160.60123
2508000000,-16.771873,14.256546,-34.795486,-16.132238,-31.667938,13.417231,-35.212414,-2.0368998,-34.738449,-16.196074,-12.981263,-177.62808,-42.639122,-1.4683921,-39.509392,-112.69048,-31.693737,13.260406,-42.442749,-0.93032181,-15.666796,17.014242,-33.960697,-2.7694013,-35.221878,-2.0072043,-39.425663,-112.99585,-34.081467,-3.0964975,-16.173523,159.92912
2508500000,-16.753004,13.759934,-34.891571,-17.471416,-31.544842,12.059879,-35.20961,-2.3593929,-34.841915,-17.673431,-12.958033,-177.71439,-43.121506,-1.6767459,-39.704876,-116.66319,-31.575638,11.947978,-42.885632,-1.2426854,-15.607175,16.62394,-33.875343,-3.7264762,-35.216709,-2.3910437,-39.623901,-116.9627,-33.995049,-4.047317,-16.167475,159.24898
2509000000,-16.742899,13.235759,-34.995567,-18.789009,-31.441505,10.65395,-35.195011,-2.6636503,-34.957085,-19.099522,-12.936343,-177.81258,-43.589989,-1.2918899,-39.944031,-120.52167,-31.475006,10.598129,-43.335896,-1.0499117,-15.547441,16.23642,-33.785519,-4.7585983,-35.205399,-2.7315724,-39.86269,-120.78665,-33.91082,-5.0675907,-16.163469,158.57663
2509500000,-16.738514,12.721995,-35.108768,-20.079678,-31.354074,9.2321281,-35.167786,-2.9602757,-35.082108,-20.438528,-12.910842,-177.90022,-44.020885,-0.39488277,-40.221207,-124.27484,-31.392111,9.2567511,-43.749184,-0.38478118,-15.486181,15.848881,-33.694904,-5.8408976,-35.179729,-3.08429,-40.137833,-124.51669,-33.826065,-6.1456833,-16.162691,157.90227
2510000000,-16.745522,12.211885,-35.231476,-21.3325,-31.280458,7.8232989,-35.121132,-3.3141019,-35.219952,-21.702236,-12.883468,-177.97775,-44.40147,0.8822695,-40.527096,-127.85574,-31.319866,7.9241586,-44.121414,0.63700002,-15.42275,15.460091,-33.601551,-6.9977837,-35.137856,-3.4629424,-40.441959,-128.09515,-33.740864,-7.2802339,-16.166124,157.2242
2510500000,-16.765724,11.708418,-35.36858,-22.501728,-31.221279,6.4316907,-35.056004,-3.7489202,-35.36536,-22.818859,-12.857365,-178.07442,-44.719704,2.5217125,-40.854378,-131.25117,-31.257782,6.6016192,-44.462017,2.057152,-15.359263,15.055155,-33.505394,-8.2302465,-35.080017,-3.921308,-40.768402,-131.54526,-33.651196,-8.501689,-16.17,156.58128
2511000000,-16.790733,11.25271,-35.511112,-23.466417,-31.172403,5.054575,-34.991936,-4.3010774,-35.511105,-23.765547,-12.83062,-178.16422,-44.953339,4.5309958,-41.202427,-134.49467,-31.204594,5.2932529,-44.725048,3.8651528,-15.294691,14.636812,-33.409061,-9.6044397,-35.0149,-4.4473114,-41.113556,-134.82771,-33.562973,-9.8153334,-16.177708,155.93336
2511500000,-16.820175,10.846046,-35.635635,-24.267635,-31.131792,3.6989162,-34.925495,-4.9012108,-35.642052,-24.548094,-12.803156,-178.24086,-45.079845,6.4618459,-41.568584,-137.64178,-31.159126,4.0139422,-44.877674,5.7427802,-15.231698,14.204363,-33.322975,-11.084365,-34.946686,-5.0382648,-41.477116,-138.03369,-33.480091,-11.23354,-16.189045,155.30424
2512000000,-16.853716,10.482729,-35.737434,-24.992277,-31.094612,2.3889863,-34.855835,-5.530827,-35.748043,-25.258976,-12.774654,-178.33112,-45.121811,8.136858,-41.948215,-140.59651,-31.112072,2.757369,-44.94643,7.3799067,-15.174633,13.747142,-33.25481,-12.684519,-34.872623,-5.6725941,-41.852085,-141.04823,-33.413212,-12.786713,-16.202801,154.69983
2512500000,-16.886543,10.158738,-35.816849,-25.7232,-31.071585,1.0616966,-34.776661,-6.1756072,-35.82885,-25.985765,-12.746755,-178.42293,-45.122295,9.6309309,-42.339176,-143.47391,-31.078348,1.4678205,-44.963673,8.9309597,-15.118551,13.301783,-33.201908,-14.250726,-34.791492,-6.3167205,-42.239944,-144.00337,-33.359997,-14.307352,-16.215956,154.12285
2513000000,-16.918798,9.8624697,-35.884983,-26.506849,-31.051189,-0.20622464,-34.678707,-6.8914723,-35.898232,-26.737494,-12.717992,-178.50606,-45.05122,10.659925,-42.739548,-146.20068,-31.047686,0.23722211,-44.900257,10.019804,-15.064996,12.859554,-33.160664,-15.88987,-34.691071,-7.0253644,-42.637962,-146.84671,-33.317638,-15.879032,-16.23044,153.56345
2513500000,-16.95064,9.5895433,-35.939751,-27.356531,-31.034269,-1.4358456,-34.568684,-7.7360492,-35.954353,-27.563459,-12.689267,-178.59605,-44.957901,11.162719,-43.142948,-148.75475,-31.020468,-0.9911781,-44.814491,10.503216,-15.014257,12.419032,-33.137039,-17.506411,-34.57663,-7.9044089,-43.044632,-149.53795,-33.29137,-17.451967,-16.244917,153.02629
2514000000,-16.986015,9.3254452,-35.992775,-28.282257,-31.019958,-2.644021,-34.458336,-8.7399473,-36.008427,-28.483957,-12.65959,-178.68813,-44.872253,11.021302,-43.532742,-151.2438,-30.996502,-2.199631,-44.737549,10.430815,-14.963286,11.987047,-33.119678,-19.071554,-34.463642,-8.9542027,-43.449505,-152.17117,-33.270813,-18.977905,-16.26042,152.49918
2514500000,-17.020967,9.1076651,-36.045124,-29.314138,-31.01063,-3.8331168,-34.349239,-9.8909626,-36.066811,-29.511461,-12.63054,-178.7834,-44.835682,10.508413,-43.929249,-153.84462,-30.978401,-3.3949912,-44.71558,9.929656,-14.914131,11.556468,-33.10714,-20.630676,-34.352959,-10.153912,-43.870834,-154.90216,-33.255421,-20.504387,-16.273727,152.00665
2515000000,-17.05584,8.9230013,-36.113705,-30.346453,-31.004578,-4.9836116,-34.251919,-11.185711,-36.13662,-30.532087,-12.601596,-178.87827,-44.864128,9.8246784,-44.340538,-156.43713,-30.961824,-4.5886292,-44.754105,9.2144995,-14.865,11.13104,-33.100109,-22.177656,-34.255417,-11.499477,-44.310329,-157.50584,-33.246563,-22.013336,-16.284014,151.53485
2515500000,-17.095831,8.7676258,-36.178188,-31.370918,-30.998455,-6.1030488,-34.165909,-12.582575,-36.200275,-31.550987,-12.573013,-178.9778,-44.918152,9.1010752,-44.758652,-159.05731,-30.951561,-5.7569208,-44.841255,8.5982447,-14.816634,10.711117,-33.098953,-23.666864,-34.172005,-12.954133,-44.763531,-160.13107,-33.237888,-23.483456,-16.290541,151.07826
2516000000,-17.139597,8.6557541,-36.246044,-32.463795,-30.996429,-7.1655388,-34.094257,-14.069227,-36.268192,-32.658794,-12.542158,-179.06662,-45.019207,8.220561,-45.209629,-161.8239,-30.945019,-6.8681698,-44.954128,7.8324409,-14.768488,10.295832,-33.091862,-25.173378,-34.105038,-14.492082,-45.255768,-162.79608,-33.226032,-24.956324,-16.295353,150.60376
2516500000,-17.185093,8.6272249,-36.330391,-33.6087,-30.99003,-8.1916895,-34.040047,-15.625503,-36.353615,-33.795673,-12.511316,-179.16666,-45.176178,7.2412162,-45.73103,-164.39391,-30.935873,-7.9227858,-45.116642,7.0756893,-14.720807,9.877368,-33.089039,-26.722998,-34.057602,-16.077827,-45.801651,-165.3083,-33.218502,-26.490623,-16.296211,150.16875
2517000000,-17.228712,8.6598997,-36.432278,-34.613777,-30.972424,-9.2146235,-34.007092,-17.195585,-36.457775,-34.787224,-12.481349,-179.28539,-45.377937,6.2281713,-46.27063,-166.63586,-30.917288,-8.9887962,-45.318436,6.2508249,-14.675119,9.4619465,-33.098495,-28.285526,-34.031036,-17.670366,-46.374714,-167.34909,-33.218674,-28.032812,-16.294558,149.71953
2517500000,-17.275728,8.7600403,-36.534389,-35.596481,-30.957857,-10.19184,-33.987453,-18.769812,-36.561005,-35.787655,-12.449812,-179.39354,-45.715549,5.3809571,-46.830685,-168.69441,-30.902431,-9.9784145,-45.636578,5.6076813,-14.63004,9.073,-33.115509,-29.828836,-34.016975,-19.264235,-46.953083,-169.18639,-33.228397,-29.581953,-16.289881,149.25732
2518000000,-17.316757,8.9469252,-36.637276,-36.451473,-30.927744,-11.184862,-33.983402,-20.323605,-36.664574,-36.67075,-12.418941,-179.51646,-46.107449,5.0762877,-47.399952,-170.44209,-30.871008,-10.995858,-46.012321,5.4681072,-14.58561,8.6955976,-33.139141,-31.321104,-34.018951,-20.856468,-47.530899,-170.67282,-33.244999,-31.091845,-16.283117,148.79385
2518500000,-17.3501,9.2136383,-36.731747,-37.283966,-30.88751,-12.260744,-33.996532,-21.859667,-36.764091,-37.51255,-12.388674,-179.64729,-46.536469,5.4320431,-47.950809,-171.92772,-30.832092,-12.074092,-46.411087,5.9828448,-14.540591,8.3381166,-33.162029,-32.758289,-34.039303,-22.384157,-48.091232,-171.7682,-33.261784,-32.542561,-16.272997,148.2959
2519000000,-17.373747,9.5226707,-36.824833,-38.077644,-30.851713,-13.437476,-34.02314,-23.292458,-36.863525,-38.291798,-12.357357,-179.76839,-47.008263,6.1690698,-48.485912,-173.38904,-30.794462,-13.267646,-46.819794,6.8688197,-14.495045,7.992672,-33.183266,-34.2071,-34.073494,-23.845142,-48.608234,-172.89912,-33.276249,-34.020737,-16.260487,147.77365
2519500000,-17.382824,9.8629074,-36.908955,-38.847378,-30.824953,-14.659113,-34.053967,-24.613914,-36.955139,-39.011604,-12.326227,-179.90118,-47.501579,7.9243102,-49.0266,-174.74507,-30.767324,-14.516626,-47.254845,8.5405846,-14.44566,7.660706,-33.20219,-35.656601,-34.110817,-25.160351,-49.125019,-173.88966,-33.293736,-35.502075,-16.247572,147.23114
2520000000,-17.381874,10.20286,-36.995502,-39.604202,-30.807795,-15.913848,-34.075409,-25.834343,-37.042843,-39.757313,-12.296014,179.95306,-47.96077,10.592946,-49.585018,-175.94466,-30.7519,-15.76303,-47.635513,11.036824,-14.395132,7.3356934,-33.226547,-37.096054,-34.139809,-26.379002,-49.611084,-174.79564,-33.311661,-36.982899,-16.236038,146.6642
2520500000,-17.370405,10.536723,-37.084175,-40.326542,-30.79813,-17.134865,-34.082779,-27.053514,-37.132824,-40.43956,-12.263611,179.8147,-48.307079,14.160872,-50.117111,-176.86833,-30.741501,-16.994736,-47.936783,14.144575,-14.342192,7.0040011,-33.253185,-38.534309,-34.156216,-27.576893,-50.0774,-175.50305,-33.334801,-38.475792,-16.226316,146.07808
2521000000,-17.353207,10.852072,-37.162632,-40.961681,-30.792339,-18.350893,-34.085796,-28.295897,-37.216103,-41.055634,-12.234236,179.64195,-48.518089,18.210936,-50.611977,-177.58476,-30.735409,-18.191328,-48.111824,17.694366,-14.286,6.664247,-33.281422,-39.969978,-34.16375,-28.799923,-50.481201,-176.26103,-33.361469,-39.96669,-16.218739,145.48248
2521500000,-17.323589,11.153745,-37.232494,-41.578236,-30.787416,-19.516329,-34.081196,-29.575399,-37.289322,-41.651787,-12.203557,179.46335,-48.596298,22.343056,-51.030666,-178.11797,-30.726328,-19.369909,-48.183884,21.200205,-14.229433,6.2972727,-33.300865,-41.432091,-34.163147,-30.049622,-50.854168,-177.06049,-33.386993,-41.461952,-16.215176,144.87331
2522000000,-17.286407,11.435981,-37.297165,-42.172482,-30.77907,-20.7124,-34.071915,-30.959362,-37.361328,-42.171288,-12.172991,179.2666,-48.545567,26.756342,-51.378441,-179.01578,-30.716589,-20.567387,-48.18119,24.96401,-14.171534,5.9135537,-33.332352,-42.964622,-34.152641,-31.41939,-51.162926,-178.17546,-33.418385,-43.039753,-16.215376,144.25098
2522500000,-17.240841,11.699568,-37.342892,-42.728592,-30.771427,-21.904612,-34.067661,-32.466919,-37.408489,-42.663754,-12.145749,179.04909,-48.326893,30.786406,-51.67485,179.50923,-30.706583,-21.755388,-48.050312,28.518099,-14.116338,5.5119472,-33.372322,-44.507851,-34.152222,-32.898258,-51.438377,-179.77237,-33.465195,-44.61459,-16.219242,143.63251
2523000000,-17.185648,11.941179,-37.367603,-43.403572,-30.760811,-23.098776,-34.074299,-34.080696,-37.437416,-43.286629,-12.121386,178.81729,-48.022823,34.192844,-51.954887,177.26534,-30.691217,-22.957691,-47.836372,31.695446,-14.061467,5.0963173,-33.423992,-46.043724,-34.161407,-34.480404,-51.703926,177.79289,-33.520943,-46.198051,-16.22608,143.02631
2523500000,-17.121401,12.159073,-37.397827,-44.16959,-30.749359,-24.34919,-34.106358,-35.775242,-37.468967,-43.965271,-12.099216,178.59132,-47.653187,37.100136,-52.305885,174.46066,-30.673058,-24.216492,-47.56324,34.694073,-14.009604,4.6709924,-33.492508,-47.566402,-34.193035,-36.166691,-52.034798,174.76541,-33.596615,-47.749504,-16.235832,142.44872
2524000000,-17.051769,12.340542,-37.43383,-44.984097,-30.740114,-25.634693,-34.163673,-37.493767,-37.503437,-44.711979,-12.082212,178.35455,-47.230213,39.423229,-52.715328,171.12784,-30.655645,-25.535391,-47.207226,37.183331,-13.961056,4.2412443,-33.571411,-48.993889,-34.249191,-37.867767,-52.443542,171.33482,-33.683239,-49.184967,-16.247522,141.87114
2524500000,-16.978794,12.476398,-37.470772,-45.763462,-30.730484,-26.968451,-34.246998,-39.134674,-37.53339,-45.429558,-12.065681,178.12486,-46.782028,41.088024,-53.209373,167.49536,-30.641502,-26.93594,-46.816486,39.094791,-13.911339,3.8195245,-33.655151,-50.320721,-34.332165,-39.503132,-52.943924,167.78745,-33.774807,-50.515656,-16.261459,141.32796
2525000000,-16.892286,12.592892,-37.505062,-46.575169,-30.727011,-28.374458,-34.342949,-40.701721,-37.555771,-46.2201,-12.051337,177.8963,-46.375694,42.035862,-53.729908,163.74702,-30.635164,-28.407404,-46.455494,40.364437,-13.861795,3.3910885,-33.732285,-51.553593,-34.432392,-41.094799,-53.479309,164.17831,-33.865292,-51.742264,-16.276823,140.8035
2525500000,-16.801716,12.642064,-37.548153,-47.463383,-30.729292,-29.814285,-34.454693,-42.206017,-37.588024,-47.111004,-12.039145,177.67851,-45.996582,43.155506,-54.342785,159.48112,-30.637438,-29.924438,-46.089699,41.832172,-13.811278,2.9406374,-33.803635,-52.767159,-34.547314,-42.600231,-54.064243,160.13435,-33.949398,-52.914089,-16.291414,140.30493
2526000000,-16.704191,12.611708,-37.593159,-48.257511,-30.74605,-31.343592,-34.586365,-43.620701,-37.624779,-47.952724,-12.029341,177.45084,-45.594105,43.594429,-55.016857,155.43842,-30.654247,-31.532692,-45.680065,42.634762,-13.768583,2.4770086,-33.878258,-53.939682,-34.68195,-44.034119,-54.69072,156.15558,-34.033871,-54.007504,-16.304623,139.83101
2526500000,-16.598816,12.500684,-37.623409,-49.114548,-30.777182,-32.872494,-34.734802,-44.942585,-37.655403,-48.837715,-12.021464,177.22916,-45.242477,43.83659,-55.709927,151.53696,-30.688772,-33.141438,-45.307713,42.951294,-13.728734,2.0248098,-33.9505,-55.082962,-34.837822,-45.353024,-55.316582,152.21606,-34.107853,-55.061489,-16.317774,139.34804
